S.No,District,Month,Actual Rainfall (in mm),Normal Rainfall (in mm),Percentage Deviation
1,Dharamapuri,June,16.3,53.6,-69.59
2,Dharamapuri,July,26.3,77.9,-66.24
3,Dharamapuri,August,158.4,99.3,59.52
4,Dharamapuri,September,201.4,162.6,23.86
5,Dharamapuri,October,159.4,180.5,-11.69
6,Dharamapuri,November,49.4,103.3,-52.18
7,Dharamapuri,December,45.8,46.3,-1.08
8,Dharamapuri,January,0,8,-100
9,Dharamapuri,February,1.4,10.2,-86.27
10,Dharamapuri,March,14.2,15.9,-10.69
11,Dharamapuri,April,19.8,41.7,-52.52
12,Dharamapuri,May,128.4,102.8,24.9
13,Erode,June,49.3,27.5,79
14,Erode,July,4.8,38.9,-88
15,Erode,August,74.1,57.6,29
16,Erode,September,99.4,105.8,-6
17,Erode,October,127.3,158.9,-20
18,Erode,November,241.6,110.5,119
19,Erode,December,21.5,45.2,-52
20,Erode,January,0,6.6,-100
21,Erode,February,0,9.5,-100
22,Erode,March,0.3,16.8,-98
23,Erode,April,14.4,44.5,-44.14
24,Erode,May,45.1,81.1,-44
25,Kanchipuram,June,68.4,67.8,
26,Kanchipuram,July,109.5,98.8,
27,Kanchipuram,August,164.1,211,
28,Kanchipuram,September,148.8,96.7,
29,Kanchipuram,October,225.8,287.6,
30,Kanchipuram,November,283,335.7,
31,Kanchipuram,December,133,49.3,
32,Kanchipuram,January,17.3,2.6,
33,Kanchipuram,February,11.8,1.8,
34,Kanchipuram,March,3.3,7.9,
35,Kanchipuram,April,16.4,0.4,
36,Kanchipuram,May,46.3,6.2,
37,Krishnagiri,June,19.1,55.9,-65.83
38,Krishnagiri,July,24.6,75.4,-67.37
39,Krishnagiri,August,189.7,96.4,96.78
40,Krishnagiri,September,291.7,171.3,70.29
41,Krishnagiri,October,219,176.9,23.8
42,Krishnagiri,November,54.5,77.9,-30.04
43,Krishnagiri,December,56.2,34.6,62.43
44,Krishnagiri,January,0,4.9,-100
45,Krishnagiri,February,1.3,5.8,-77.59
46,Krishnagiri,March,34.9,12.3,183.74
47,Krishnagiri,April,14.4,39.9,-63.91
48,Krishnagiri,May,114.5,99.4,15.19
49,Salem,June,65.1,24.5,
50,Salem,July,96.4,37.4,
51,Salem,August,119.6,199.4,
52,Salem,September,159.5,223.4,
53,Salem,October,190.9,212.1,
54,Salem,November,123.8,64,
55,Salem,December,55.8,65.8,
56,Salem,January,8.5,2.4,
57,Salem,February,7.5,13,
58,Salem,March,16,31.1,
59,Salem,April,54,10.4,
60,Salem,May,100.8,137.7,
61,Tiruvanamalai,June,55.6,62.4,-10.9
62,Tiruvanamalai,July,69.1,96,-28.02
63,Tiruvanamalai,August,366.5,142.3,157.55
64,Tiruvanamalai,September,130.7,167.4,-21.92
65,Tiruvanamalai,October,276.5,194.2,42.38
66,Tiruvanamalai,November,80.4,170.2,-52.76
67,Tiruvanamalai,December,168,82.1,104.63
68,Tiruvanamalai,January,0,14.7,-100
69,Tiruvanamalai,February,34.9,11.8,195.76
70,Tiruvanamalai,March,34.2,11.4,200
71,Tiruvanamalai,April,3.7,19.3,-80.83
72,Tiruvanamalai,May,14.5,68.2,-78.74
73,Vellore,June,42,78.2,-46
74,Vellore,July,40,110.4,-64
75,Vellore,August,74.4,134.1,-45
76,Vellore,September,50.6,195.2,-74
77,Vellore,October,66.5,158.1,-58
78,Vellore,November,18.4,156.3,-88
79,Vellore,December,53.2,74,-28
80,Vellore,January,0,11.5,-100
81,Vellore,February,32.8,1.7,1829
82,Vellore,March,40,16.7,140
83,Vellore,April,1.7,28.2,-94
84,Vellore,May,48.6,69.7,-30
